ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
249.808328,-52.099838,9.666,0.115,-0.115,0.0,5.64,0.069,-0.069,0.0,2.0340967,1.14e-05,-1.14e-05,0,3.397,0.488,-0.488,0,1283.0,77.4624,-77.4624,0,6.38274,0.433486,-0.433486,0,4644.28,2299.0,10.2956,0.006,-0.006,0,389.597,10.237,-10.237,0,6849.0,129.9,-129.9,0,3.99,0.09,-0.09,0,2.05,0.1,-0.1,0
85.151086,34.796663,1.163,0.086,-0.086,0.0,-5.145,0.067,-0.067,0.0,6.5019596,3.76e-05,-3.76e-05,0,3.078,0.682,-0.682,0,7130.0,18.863,-18.863,0,10.544,0.7174066,-0.7174066,0,9344.79,2739.0,11.1843,0.153,-0.153,0,1686.41,141.275,-141.275,0,13253.0,143.0,-143.0,0,4.33,0.08456055000000001,-0.08456055000000001,0,1.23434,0.06,-0.06,0
337.457824,-48.003099,91.976,0.052,-0.052,0.0,-6.861,0.069,-0.069,0.0,2.1846669,5e-07,-5e-07,0,2.86528,0.0090748,-0.0090748,0,11708.0228549,34.928566,-34.928566,0,13.7028527,0.6619751,-0.6619751,0,1362.1381428,1549.4409801,9.4995,0.006,-0.006,0,137.544,0.7905,-0.7905,0,5630.0,129.4,-129.4,0,4.37759,0.08456055000000001,-0.08456055000000001,0,1.23824,0.0596985,-0.0596985,0
46.558777,-9.810051,18.359,0.079,-0.079,0.0,2.806,0.092,-0.092,0.0,1.10071,2.44e-05,-2.44e-05,0,0.909,0.303,-0.303,0,680.0,5.4544,-5.4544,0,4.67495,0.474088,-0.474088,0,1082.9,1598.0,10.3682,0.009,-0.009,0,297.858,5.288,-5.288,0,6409.0,147.5,-147.5,0,4.14,0.09,-0.09,0,1.59,0.08,-0.08,0
207.526001,-40.835896,-28.843,0.108,-0.108,0.0,-22.425,0.107,-0.107,0.0,6.9593972,0.0003679,-0.0003679,0,4.8553269,0.0468821,-0.0468821,0,4826.8656037,252.26306,-252.26306,0,9.3800527,0.5455733,-0.5455733,0,341.0877558,1096.0649295,9.1871,0.006,-0.006,0,127.28,1.096,-1.096,0,5854.0,129.4,-129.4,0,4.438,0.08456055000000001,-0.08456055000000001,0,1.33729,0.0659899,-0.0659899,0
45.144066,-51.793599,34.466,0.027,-0.027,0.0,33.088,0.03,-0.03,0.0,1.9792573,9e-06,-9e-06,0,1.6873516,0.1933715,-0.1933715,0,2235.6640941,210.71806,-210.71806,0,4.1930997,0.5624441,-0.5624441,0,189.6799154,946.5097378,12.5515,0.006,-0.006,0,153.332,0.35,-0.35,0,4001.0,122.07,-122.07,0,4.47278,0.120164,-0.120164,0,0.756551,0.0763267,-0.0763267,0
321.24506,57.666632,-3.988,2.173,-2.173,0.0,-0.37,2.173,-2.173,0.0,9.312167,3.22e-05,-3.22e-05,0,4.867,1.017,-1.017,0,15226.0,9911.86,-9911.86,0,10.544,0.7174066,-0.7174066,0,118.249,918.0,12.6864,0.006,-0.006,0,365.00800000000004,4.30475,-4.30475,0,3979.0,137.3,-137.3,0,4.33,0.08456055000000001,-0.08456055000000001,0,1.23434,0.06,-0.06,0
161.80711,-60.750286,-1.571,0.051,-0.051,0.0,-3.469,0.049,-0.049,0.0,1.4032876,8.4e-06,-8.4e-06,0,2.534,0.231,-0.231,0,12010.0,4367.49,-4367.49,0,10.544,0.7174066,-0.7174066,0,6122.38,2464.0,13.2714,0.006,-0.006,0,730.429,4.30475,-4.30475,0,5649.5,217.3,-217.3,0,4.33,0.08456055000000001,-0.08456055000000001,0,1.23434,0.06,-0.06,0
90.627138,4.150327,4.99,0.041,-0.041,0.0,-8.836,0.042,-0.042,0.0,4.7654865,2.9e-05,-2.9e-05,0,4.43,0.264,-0.264,0,6120.0,4.52917,-4.52917,0,14.441,0.7174066,-0.7174066,0,806.142,1484.0,13.0577,0.01,-0.01,0,809.18,17.044,-17.044,0,6151.0,126.0,-126.0,0,3.97,0.08456055000000001,-0.08456055000000001,0,1.85,0.06,-0.06,0
117.624526,-31.73015,-3.638,0.028,-0.028,0.0,2.4,0.033,-0.033,0.0,5.495078,5.8e-05,-5.8e-05,0,2.962,0.832,-0.832,0,5504.0,616.071,-616.071,0,10.0782,0.7174066,-0.7174066,0,469.613,1296.0,13.3935,0.007,-0.007,0,1011.08,20.193,-20.193,0,6852.0,122.0,-122.0,0,4.26,0.08456055000000001,-0.08456055000000001,0,1.5,0.06,-0.06,0
330.55306,47.090352,5.18,0.046,-0.046,0.0,0.855,0.047,-0.047,0.0,4.088721700000001,2.44e-05,-2.44e-05,0,6.6644694,0.4191926,-0.4191926,0,1352.2809088,107.12722,-107.12722,0,6.3590858,0.7648462,-0.7648462,0,1.8314743,296.7016455,9.61487,0.006,-0.006,0,323.808,2.9095,-2.9095,0,8450.0,238.967,-238.967,0,4.31188,0.0728581,-0.0728581,0,1.67454,0.051191,-0.051191,0
291.534894,-43.187188,-157.84,0.149,-0.149,0.0,-1098.04,0.116,-0.116,0.0,18.4043334,0.0124587,-0.0124587,0,7.879331,0.8341447,-0.8341447,0,9135.2110162,1085.6766,-1085.6766,0,1.2834433,0.163812,-0.163812,0,0.2638693,182.7961243,13.7827,0.008,-0.008,0,23.7607,0.049,-0.049,0,2891.0,157.0,-157.0,0,5.22041,0.0557763,-0.0557763,0,0.133376,0.0039658,-0.0039658,0
22.973494,66.819333,-7.573,2.232,-2.232,0.0,8.172,2.232,-2.232,0.0,5.3798996,2.22e-05,-2.22e-05,0,2.85,0.199,-0.199,0,8550.0,6.28051,-6.28051,0,7.09264,0.429372,-0.429372,0,104.667,891.0,12.849,0.006,-0.006,0,515.607,4.30475,-4.30475,0,4930.3,133.5,-133.5,0,4.33,0.08456055000000001,-0.08456055000000001,0,0.76,0.04,-0.04,0
312.602815,-81.443121,34.031,0.14,-0.14,0.0,-6.974,0.139,-0.139,0.0,0.733892,1.53e-05,-1.53e-05,0,0.9663799,0.0637231,-0.0637231,0,41803.8414084,2054.8794,-2054.8794,0,12.8031517,15.131779,-15.131779,0,162.6122005,910.7685622,14.9276,0.008,-0.008,0,195.854,3.042,-3.042,0,3423.0,157.0,-157.0,0,4.79,0.01,-0.01,0,0.438708,0.0139951,-0.0139951,0
