,importance
koi_fpflag_ss,0.11207784532739865
sy_pnum,0.0829398385042963
koi_fpflag_nt,0.0827204358982022
koi_fpflag_co,0.0664802244725475
koi_score,0.03434390127893197
koi_model_snr,0.022979463776714393
koi_fpflag_ec,0.015315478692495221
toi,0.015277681052596123
disc_year,0.010532720495513612
pl_orbpererr1,0.003158644356033427
pl_rade,0.0030958708293736953
st_mass,0.0030859378268107834
koi_prad,0.0028804436962587276
koi_tce_plnt_num,0.0025379046039921
sy_dist,0.002198515795373293
st_tmag,0.0020403717032559665
sy_gaiamag,0.0016916132438493103
koi_period,0.0016736009833434595
st_pmdec,0.0014943876520092103
pl_orbpererr2,0.0014637416180942192
koi_srad,0.0013338086787018782
sy_vmag,0.0012396468692022905
pl_trandurh,0.0012303529978022892
sy_disterr1,0.0011054150239759447
pl_radeerr2,0.001055330805200927
st_tmagerr1,0.0010317449797146439
st_logg,0.0010140340061304681
koi_duration,0.0009870508849448428
koi_steff_err2,0.0008876571317526366
sy_gaiamagerr1,0.0008647384262865515
pl_radj,0.0008283906783251721
st_masserr2,0.0007909127686099304
sy_vmagerr1,0.0007849991527419803
st_dist,0.0007378256633270713
sy_kmag,0.0006933327976186565
st_rad,0.000682210203225897
pl_trandep,0.0006610892607358115
koi_duration_err2,0.000654524715327412
koi_slogg_err2,0.0005827557619007828
sy_gaiamagerr2,0.0005536436692976932
st_loggerr2,0.0005494325295189173
pl_orbper,0.0005258429236947026
default_flag,0.0004716965963401376
sy_kmagerr1,0.0004299046615337393
st_tefferr2,0.0004062812606939331
sy_disterr2,0.00030410533529950934
koi_impact,0.00030159459635423214
st_met,0.00029848453036113165
st_raderr2,0.0002010512182815949
koi_period_err2,0.00018513453176129124
koi_duration_err1,0.0001480803027755495
st_tefferr1,8.641679387254297e-05
ra,7.514637540390057e-05
tid,5.065193035970472e-05
koi_time0bk_err2,4.0513711319578594e-05
st_pmdecerr1,3.9133133582225366e-07
pl_orbeccenerr2,0.0
st_masslim,0.0
st_metlim,0.0
pl_bmassjlim,0.0
pl_orbeccenlim,0.0
pl_bmassjerr2,0.0
pl_orbeccenerr1,0.0
pl_radjlim,0.0
pl_bmassjerr1,0.0
pl_bmassj,0.0
pl_bmasselim,0.0
pl_bmasseerr2,0.0
pl_bmasseerr1,0.0
ttv_flag,0.0
pl_orbeccen,0.0
pl_bmasse,0.0
pl_orbperlim,0.0
pl_insollim,0.0
pl_eqterr1,0.0
pl_eqterr2,0.0
pl_eqtlim,0.0
st_tmagerr2,0.0
pl_insolerr1,0.0
pl_radelim,0.0
st_tmaglim,0.0
st_pmdeclim,0.0
pl_tranmidlim,0.0
st_distlim,0.0
st_pmralim,0.0
st_tefflim,0.0
pl_trandeplim,0.0
st_logglim,0.0
pl_radjerr1,0.0
st_radlim,0.0
sy_snum,0.0
pl_controv_flag,0.0
pl_orbsmaxerr1,0.0
pl_trandurhlim,0.0
pl_orbsmaxlim,0.0
pl_insolerr2,0.0
pl_orbsmax,-6.863047054828098e-07
koi_prad_err2,-8.764245579495622e-06
koi_kepmag,-9.785152543184683e-06
sy_kmagerr2,-4.017441131809463e-05
koi_slogg,-5.5575141506919445e-05
sy_vmagerr2,-7.482199397543243e-05
st_meterr1,-8.014845480606991e-05
pl_orbsmaxerr2,-0.0001164496282801547
st_meterr2,-0.00012924476167619492
koi_srad_err1,-0.00014414614365262923
st_masserr1,-0.00015293937261628976
koi_time0bk_err1,-0.000185184754315032
pl_insol,-0.00024319996507481123
koi_insol,-0.0002656977485592238
koi_period_err1,-0.0002713691159777071
koi_depth,-0.0002776658475534405
pl_radjerr2,-0.0003361789277880056
st_disterr1,-0.0003533742914218485
koi_steff,-0.0003631133735632619
pl_radeerr1,-0.00037207784390719256
st_pmraerr1,-0.00044308527070786863
st_disterr2,-0.00046751739417204285
koi_insol_err1,-0.0005403365430244333
st_pmraerr2,-0.0006004697406939707
koi_srad_err2,-0.0006285866535635926
pl_trandurherr1,-0.000683295043027124
pl_eqt,-0.0007159696013255973
st_pmdecerr2,-0.0007173785927853255
st_loggerr1,-0.0007289561783868498
koi_steff_err1,-0.0007347506953239297
koi_impact_err2,-0.0007568408766082668
koi_prad_err1,-0.0007621744153258475
pl_tranmid,-0.0007655264236777898
kepid,-0.000771379464247518
st_raderr1,-0.0007721142004119969
koi_depth_err1,-0.0007946222019621085
dec,-0.0008484294983046731
koi_impact_err1,-0.0009139573227170267
koi_depth_err2,-0.0009411784806526435
st_teff,-0.0010617481733737333
koi_time0bk,-0.0011157207023372168
pl_trandeperr2,-0.0011559602632164045
koi_insol_err2,-0.0011840054162199215
koi_slogg_err1,-0.0012082335344600348
pl_trandurherr2,-0.001257595406749551
st_pmra,-0.0012908307605718483
koi_teq,-0.0013185060786220643
pl_trandeperr1,-0.0017356565697218274
pl_tranmiderr2,-0.001967495942722927
pl_tranmiderr1,-0.002173440335181437
