,importance
st_tmag,0.08855433613129639
st_disterr1,0.03876946818051129
pl_eqt,0.029107787868838483
pl_orbpererr1,0.01971277913205763
pl_rade,0.019093726524494994
pl_trandep,0.016582991443525902
pl_trandurh,0.01247675760781354
pl_orbper,0.009850719668298341
pl_trandurherr1,0.008863105123358889
st_dist,0.006661451804316806
dec,0.0056200680034632355
pl_radeerr1,0.0033936444743169064
st_loggerr2,0.002035788298839991
st_pmdec,0.0018502191911956567
st_tefferr1,0.0016566218603109445
pl_orbpererr2,0.0013286408750759898
pl_trandurherr2,0.0007375336962635176
st_pmdecerr2,0.0005998649047103677
st_logg,0.0004997310044969061
st_tefferr2,0.00015828325170572088
pl_radeerr2,0.0001323612816321318
st_pmraerr2,9.805350963369708e-05
st_distlim,0.0
st_tefflim,0.0
st_tmaglim,0.0
st_logglim,0.0
st_radlim,0.0
pl_orbperlim,0.0
pl_trandurhlim,0.0
st_pmralim,0.0
st_pmdeclim,0.0
pl_trandeplim,0.0
pl_radelim,0.0
pl_insol,-0.0004684666882728977
st_loggerr1,-0.0006400682727423224
st_tmagerr2,-0.0008582346399023805
st_disterr2,-0.0015308191647515346
st_teff,-0.0017046392890084083
st_tmagerr1,-0.0019978399861950713
st_rad,-0.0020562579312529555
st_raderr2,-0.0024361134728548978
st_pmraerr1,-0.003238651183984892
st_raderr1,-0.0034528129906431643
st_pmra,-0.003829951556937203
pl_trandeperr2,-0.004079539054861622
st_pmdecerr1,-0.00420332975567346
pl_trandeperr1,-0.005615922209878749
ra,-0.007958144796628583
